,code,name,i_median,i_from,i_average,i_mean,i_to,code_status,subcategory
BRe1u,BRe1u,Stüssy,0.958992,0,0.958992,1.816071,26.666667,live,Clothing
BRe1w,BRe1w,STX Lacrosse,0,0,0,0.077856,1.5567769999999999,live,Sporting Goods
BRe1i,BRe1i,Stylerunner,0.211506,0,0.211506,0.5210239999999999,16.858591,live,Clothing
BRe1s,BRe1s,Suave,0,0,0,0.015066999999999999,0.568028,live,Household prod
BRe1z,BRe1z,Subway JP,0,0,0,0.001206,0.096339,live,Fast food
BRe1a,BRe1a,Subway Surfers,0.024148,0,0.024148,0.050036,0.561798,live,Games
BRe13,BRe13,Sub-Zero,0,0,0,0.03953,1.518535,live,Cons electronics
BRe14,BRe14,Suddenlink,0,0,0,0.002228,0.10940899999999999,live,Telecom
BRe15,BRe15,Sugar Bear Hair,0.852695,0,0.852695,1.329906,9.334657,live,Healthcare
BRe1h,BRe1h,SugarCRM,0,0,0,0.002097,0.096525,live,Software
BRe17,BRe17,Sugarpill Cosmetics,1.216362,0,1.216362,2.22576,34.736302,live,Beauty
BRe16,BRe16,Suitsupply,0.19258599999999998,0,0.19258599999999998,0.39361399999999996,5.88596,live,Stores & shops
BRe19,BRe19,Sullen Clothing,0.5228269999999999,0,0.5228269999999999,1.145945,26.638711,live,Clothing
BReuy,BReuy,Sulwhasoo,0,0,0,0.040216999999999996,1.067887,live,Beauty
BReub,BReub,Sumitomo Mitsui Bank,0,0,0,0.001369,0.122001,live,Banks
BReun,BReun,Summa Health,0,0,0,0.00102,0.07668699999999999,live,Healthcare
BReud,BReud,Summer's Eve ,0,0,0,0.006771,0.23266599999999998,live,Healthcare
BReur,BReur,Summersalt,0,0,0,0.115948,3.016241,live,Clothing
BReuf,BReuf,Summit,0,0,0,0.03407,1.226443,live,Prof services
BReug,BReug,Summit Racing Equipment,0.054619,0,0.054619,0.312444,14.862915,live,Stores & shops
BReu8,BReu8,Summoners War: Sky Arena,0,0,0,0.005945,0.14005599999999999,live,Games
BReue,BReue,Sun Basket,0.029161,0,0.029161,0.20041099999999998,3.402332,live,Food
BReuj,BReuj,Sun Cellular,0,0,0,0.013829,1.357887,live,Telecom
BReuk,BReuk,Sun Chips,0,0,0,0.026924,0.6362059999999999,live,Food
BReum,BReum,Sun Country Airlines,0,0,0,0.014908999999999999,0.362647,live,Airlines
BReuc,BReuc,Sun Direct,0,0,0,8.2e-05,0,live,Telecom
BReup,BReup,Sun Life Financial,0,0,0,0.004774,0.22744499999999998,live,Financial services
BReuq,BReuq,Suncoast Credit Union,0,0,0,0.0025689999999999997,0.109709,live,Financial services
BReux,BReux,Suncoo,0,0,0,0.034387,2.199224,live,Clothing
BReuo,BReuo,Suncor Energy,0,0,0,0.000404,0.05711000000000001,live,Energy
BReut,BReut,Suncorp,0,0,0,0.0009689999999999999,0.101729,live,Insurance
BReu1,BReu1,Sunday Riley,0.086244,0,0.086244,0.342084,8.054523,live,Beauty
BReuu,BReuu,SunExpress,0,0,0,0.00727,0.182648,live,Airlines
BReuw,BReuw,Sunkist,0,0,0,0.0011979999999999998,0.08787299999999999,live,Drinks
BReui,BReui,Sun-Maid,0,0,0,0.008674,0.531287,live,Food
BReuz,BReuz,SunPower,0,0,0,0.012317999999999999,0.268817,live,Cons electronics
BReua,BReua,Sunsilk,0,0,0,0.028994,1.419355,live,Beauty
BReu3,BReu3,Suntegrity,0,0,0,0.029292,1.169591,live,Beauty
BReu4,BReu4,Suntory,0,0,0,0.012313,0.321285,live,Drinks
BReu5,BReu5,Sunwing Airlines,0,0,0,0.026622999999999997,1.4558689999999999,live,Airlines
BReuh,BReuh,Super Impulse Toys,0,0,0,0.005324,0.23419199999999998,live,Toys
BReu6,BReu6,Super Muffato,0,0,0,0.018407,0.762957,live,Stores & shops
BReu9,BReu9,Super Snack Time,0,0,0,0.020866,0.8725459999999999,live,Snacks
BRewy,BRewy,Super Street,1.183779,0,1.183779,2.027667,43.854084,live,Auto services
